행정구역,,,총인구수,세대수,세대당 인구
서울특별시,서대문구,북아현동,"15,108","7,018",2.15
서울특별시,서대문구,충현동,"19,194","9,905",1.94
서울특별시,서대문구,신촌동,"20,200","15,076",1.34
서울특별시,서대문구,연희동,"33,047","18,555",1.78
서울특별시,서대문구,홍제제1동,"24,312","11,155",2.18
서울특별시,서대문구,홍제제3동,"17,247","7,926",2.18
서울특별시,서대문구,홍제제2동,"11,939","5,236",2.28
서울특별시,서대문구,홍은제1동,"23,266","10,344",2.25
서울특별시,서대문구,홍은제2동,"27,189","12,727",2.14
서울특별시,서대문구,남가좌제1동,"16,928","6,293",2.69
서울특별시,서대문구,남가좌제2동,"28,403","13,208",2.15
서울특별시,서대문구,북가좌제1동,"17,199","6,724",2.56
서울특별시,서대문구,북가좌제2동,"29,608","14,409",2.05
서울특별시,마포구,,"357,232","180,178",1.98
서울특별시,마포구,아현동,"28,956","12,302",2.35
서울특별시,마포구,공덕동,"35,875","18,433",1.95
서울특별시,마포구,도화동,"20,225","9,284",2.18
서울특별시,마포구,용강동,"21,083","9,250",2.28
서울특별시,마포구,대흥동,"14,212","8,603",1.65
서울특별시,마포구,염리동,"16,780","7,697",2.18
서울특별시,마포구,신수동,"21,905","10,031",2.18
서울특별시,마포구,서강동,"24,250","12,161",1.99
서울특별시,마포구,서교동,"23,477","15,049",1.56
서울특별시,마포구,합정동,"15,602","8,927",1.75
서울특별시,마포구,망원제1동,"18,426","10,042",1.83
서울특별시,마포구,망원제2동,"17,204","8,194",2.1
서울특별시,마포구,연남동,"13,762","8,234",1.67
서울특별시,마포구,성산제1동,"18,301","9,583",1.91
서울특별시,마포구,성산제2동,"38,075","19,649",1.94
서울특별시,마포구,상암동,"29,099","12,739",2.28
서울특별시,양천구,,"424,606","179,437",2.37
서울특별시,양천구,목1동,"29,950","10,311",2.9
서울특별시,양천구,목2동,"27,823","13,192",2.11
서울특별시,양천구,목3동,"20,668","10,102",2.05
서울특별시,양천구,목4동,"23,594","9,847",2.4
서울특별시,양천구,목5동,"40,383","13,466",3
서울특별시,양천구,신월1동,"18,480","9,832",1.88
서울특별시,양천구,신월2동,"20,417","8,682",2.35
서울특별시,양천구,신월3동,"13,598","7,455",1.82
서울특별시,양천구,신월4동,"16,684","6,765",2.47
서울특별시,양천구,신월5동,"13,663","6,336",2.16
서울특별시,양천구,신월6동,"13,677","5,320",2.57
서울특별시,양천구,신월7동,"17,894","9,033",1.98
서울특별시,양천구,신정1동,"19,488","6,931",2.81
서울특별시,양천구,신정2동,"18,443","6,801",2.71
서울특별시,양천구,신정3동,"47,234","19,255",2.45
서울특별시,양천구,신정4동,"31,021","16,484",1.88
서울특별시,양천구,신정6동,"23,875","8,185",2.92
서울특별시,양천구,신정7동,"27,714","11,440",2.42
서울특별시,강서구,,"549,536","273,800",2.01
서울특별시,강서구,염창동,"41,066","16,841",2.44
서울특별시,강서구,등촌제1동,"24,854","14,303",1.74
서울특별시,강서구,등촌제2동,"18,992","8,646",2.2
서울특별시,강서구,등촌제3동,"28,514","15,028",1.9
서울특별시,강서구,화곡제1동,"49,446","28,092",1.76
서울특별시,강서구,화곡제2동,"16,682","8,202",2.03
서울특별시,강서구,화곡제3동,"20,509","9,650",2.13
서울특별시,강서구,화곡제4동,"18,986","9,599",1.98
서울특별시,강서구,화곡본동,"31,780","17,177",1.85
서울특별시,강서구,화곡제6동,"25,410","13,476",1.89
서울특별시,강서구,화곡제8동,"22,358","11,489",1.95
서울특별시,강서구,가양제1동,"33,373","21,029",1.59
서울특별시,강서구,가양제2동,"12,904","7,915",1.63
서울특별시,강서구,가양제3동,"13,388","7,535",1.78
서울특별시,강서구,발산제1동,"34,698","13,558",2.56
서울특별시,강서구,우장산동,"43,691","17,401",2.51
서울특별시,강서구,공항동,"28,640","13,700",2.09
서울특별시,강서구,방화제1동,"40,130","16,637",2.41
서울특별시,강서구,방화제2동,"22,774","12,420",1.83
서울특별시,강서구,방화제3동,"21,341","11,102",1.92
서울특별시,구로구,,"383,226","184,274",2.08
서울특별시,구로구,신도림동,"35,667","14,416",2.47
서울특별시,구로구,구로제1동,"20,086","8,413",2.39
서울특별시,구로구,구로제2동,"21,739","12,045",1.8
서울특별시,구로구,구로제3동,"22,670","13,595",1.67
서울특별시,구로구,구로제4동,"17,695","10,044",1.76
서울특별시,구로구,구로제5동,"28,500","15,530",1.84
서울특별시,구로구,가리봉동,"8,752","6,105",1.43
서울특별시,구로구,고척제1동,"26,141","11,626",2.25
서울특별시,구로구,고척제2동,"24,891","11,295",2.2
서울특별시,구로구,개봉제1동,"33,125","15,271",2.17
서울특별시,구로구,개봉제2동,"29,182","12,668",2.3
서울특별시,구로구,개봉제3동,"18,624","8,551",2.18
