행정구역,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,중랑구,상봉제2동,"21,225",630,680,"4,241","5,236","2,497","2,800","2,774","1,603",665,94,5
서울특별시,중랑구,중화제1동,"17,881",741,"1,079","1,979","2,956","2,354","2,743","3,195","1,957",785,88,4
서울특별시,중랑구,중화제2동,"25,489",965,"1,038","3,142","4,143","3,251","4,237","4,710","2,638","1,213",151,1
서울특별시,중랑구,묵제1동,"32,991","1,478","2,806","4,312","4,510","4,799","5,494","4,954","3,117","1,336",183,2
서울특별시,중랑구,묵제2동,"17,626",670,960,"2,196","2,616","2,356","2,967","2,978","1,937",831,114,1
서울특별시,중랑구,망우본동,"37,916","2,565","2,299","3,993","6,503","5,533","5,605","6,160","3,545","1,469",237,7
서울특별시,중랑구,망우제3동,"15,196",453,786,"1,651","2,001","1,797","2,787","3,063","1,787",738,132,1
서울특별시,중랑구,신내1동,"36,607","1,887","3,655","3,740","4,532","5,158","5,924","6,219","3,593","1,623",265,11
서울특별시,중랑구,신내2동,"19,022",874,"1,316","1,848","2,766","2,603","3,093","3,326","2,122",910,158,6
서울특별시,성북구,성북구,"422,559","21,457","33,816","62,619","56,948","59,783","70,663","58,704","37,158","18,583","2,758",70
서울특별시,성북구,성북동,"15,470",524,959,"2,328","2,525","2,036","2,620","2,165","1,349",814,143,7
서울특별시,성북구,삼선동,"21,619",676,"1,473","4,027","3,019","2,705","3,773","2,898","1,813","1,095",136,4
서울특별시,성북구,동선동,"14,743",330,808,"4,611","2,429","1,650","1,847","1,450",951,573,90,4
서울특별시,성북구,돈암제1동,"13,729",596,958,"1,686","1,815","1,705","2,436","2,290","1,432",697,112,2
서울특별시,성북구,돈암제2동,"22,878","1,464","2,470","2,529","2,683","3,601","4,247","3,146","1,724",833,176,5
서울특별시,성북구,안암동,"15,447",356,715,"5,811","2,177","1,388","1,859","1,516",957,572,95,1
서울특별시,성북구,보문동,"15,748",812,939,"2,408","2,732","2,200","2,640","2,121","1,200",597,97,2
서울특별시,성북구,정릉제1동,"17,566","1,056","1,637","2,136","2,230","2,734","2,982","2,311","1,574",795,111,0
서울특별시,성북구,정릉제2동,"21,668","1,042","1,473","2,760","2,877","2,871","3,736","3,440","2,221","1,082",160,6
서울특별시,성북구,정릉제3동,"13,795",346,806,"3,384","1,625","1,327","1,978","2,007","1,438",763,121,0
서울특별시,성북구,정릉제4동,"23,513","1,001","1,766","2,920","2,807","3,208","4,243","3,706","2,471","1,211",173,7
서울특별시,성북구,길음제1동,"35,437","2,636","5,187","3,460","3,789","6,851","6,349","3,487","2,356","1,169",151,2
서울특별시,성북구,길음제2동,"21,362","1,781","2,088","2,457","2,796","3,698","3,715","2,549","1,544",621,110,3
서울특별시,성북구,종암동,"36,798","1,757","3,145","5,293","4,560","5,216","6,193","5,302","3,225","1,776",322,9
서울특별시,성북구,월곡제1동,"24,661","1,389","2,281","2,570","3,074","3,789","4,217","3,616","2,407","1,184",128,6
서울특별시,성북구,월곡제2동,"18,338",668,"1,197","3,239","2,639","2,247","2,834","2,669","1,796",899,148,2
서울특별시,성북구,장위제1동,"22,700","1,210","1,684","2,708","3,120","3,205","4,007","3,683","2,034",936,113,0
서울특별시,성북구,장위제2동,"15,649",706,860,"1,929","2,573","2,012","2,582","2,417","1,697",755,115,3
서울특별시,성북구,장위제3동,"18,641","1,680","1,519","2,175","2,817","3,145","3,033","2,409","1,299",492,71,1
서울특별시,성북구,석관동,"32,797","1,427","1,851","4,188","4,661","4,195","5,372","5,522","3,670","1,719",186,6
서울특별시,강북구,강북구,"278,928","9,574","17,809","34,252","34,352","36,304","48,504","47,694","32,262","16,108","2,027",42
서울특별시,강북구,삼양동,"24,459","1,023","1,707","2,844","3,004","3,258","4,424","4,175","2,631","1,235",156,2
서울특별시,강북구,미아동,"20,202",424,981,"3,260","2,716","2,343","3,349","3,580","2,255","1,158",133,3
서울특별시,강북구,송중동,"27,370","1,053","1,712","3,360","3,547","3,683","4,719","4,693","3,009","1,423",170,1
서울특별시,강북구,송천동,"21,936",578,"1,141","2,366","2,596","2,663","3,897","4,349","2,868","1,333",141,4
서울특별시,강북구,삼각산동,"29,987","1,940","3,576","3,145","3,160","5,097","5,667","3,747","2,400","1,096",157,2
서울특별시,강북구,번1동,"16,040",401,734,"2,618","2,394","2,148","2,645","2,522","1,688",794,92,4
서울특별시,강북구,번2동,"14,328",384,761,"1,539","1,569","1,765","2,433","2,662","2,033","1,061",117,4
서울특별시,강북구,번3동,"15,610",561,"1,005","1,462","1,598","1,756","2,682","2,691","2,381","1,331",141,2
서울특별시,강북구,수유1동,"19,298",582,"1,138","2,501","2,597","2,429","3,159","3,453","2,240","1,045",152,2
서울특별시,강북구,수유2동,"19,954",681,"1,125","2,306","2,266","2,414","3,528","3,607","2,476","1,359",188,4
서울특별시,강북구,수유3동,"22,375",434,897,"3,762","3,384","2,709","3,823","3,678","2,369","1,175",141,3
서울특별시,강북구,우이동,"19,349",637,"1,234","2,069","2,229","2,456","3,413","3,388","2,394","1,342",185,2
서울특별시,강북구,인수동,"28,020",876,"1,798","3,020","3,292","3,583","4,765","5,149","3,518","1,756",254,9
서울특별시,도봉구,도봉구,"299,899","11,838","21,204","33,286","37,312","39,660","51,981","53,231","33,152","15,828","2,339",68
서울특별시,도봉구,창제1동,"23,378",959,"1,784","2,660","3,153","3,275","4,118","3,752","2,319","1,187",165,6
서울특별시,도봉구,창제2동,"27,480","1,093","1,843","3,257","3,807","3,733","4,760","4,668","2,815","1,332",168,4
서울특별시,도봉구,창제3동,"12,742",400,879,"1,316","1,423","1,699","2,365","2,352","1,474",742,88,4
서울특별시,도봉구,창제4동,"25,942","1,269","2,147","3,196","3,621","3,611","4,579","4,133","2,142","1,040",200,4
서울특별시,도봉구,창제5동,"23,284","1,001","1,605","2,851","3,389","3,006","3,990","3,931","2,269","1,056",180,6
서울특별시,도봉구,도봉제1동,"19,440",459,965,"1,790","1,996","2,241","3,375","3,921","3,004","1,492",194,3
서울특별시,도봉구,도봉제2동,"25,554","1,233","1,364","2,376","3,242","3,307","4,028","4,723","3,499","1,555",216,11
서울특별시,도봉구,쌍문제1동,"20,482",754,"1,372","2,570","2,346","2,554","3,596","3,552","2,323","1,249",160,6
서울특별시,도봉구,쌍문제2동,"17,333",620,"1,082","1,885","2,227","2,310","2,984","3,151","2,000",906,165,3
서울특별시,도봉구,쌍문제3동,"15,949",543,860,"2,099","2,294","2,140","2,621","2,663","1,729",907,90,3
서울특별시,도봉구,쌍문제4동,"17,657",796,"1,748","1,869","2,047","2,509","3,094","3,117","1,639",711,127,0
서울특별시,도봉구,방학제1동,"27,628",978,"2,035","3,144","3,136","3,662","4,985","5,011","3,080","1,393",197,7
서울특별시,도봉구,방학제2동,"17,645",506,"1,073","1,797","1,873","2,114","3,273","3,511","2,225","1,139",133,1
서울특별시,도봉구,방학제3동,"25,385","1,227","2,447","2,476","2,758","3,499","4,213","4,746","2,634","1,119",256,10
서울특별시,노원구,노원구,"483,541","22,895","44,100","61,120","61,093","69,011","83,880","72,485","44,781","20,656","3,435",85
서울특별시,노원구,월계1동,"20,078",752,"1,357","3,556","2,406","2,555","3,240","3,006","2,126",960,114,6
서울특별시,노원구,월계2동,"24,822","1,142","1,851","2,503","2,681","3,484","4,207","4,352","3,079","1,295",223,5
서울특별시,노원구,월계3동,"27,839","1,524","1,736","2,758","4,418","3,805","4,354","4,460","3,138","1,419",222,5
서울특별시,노원구,공릉1동,"35,191","1,229","2,276","6,363","4,891","4,630","5,308","5,372","3,477","1,444",197,4
서울특별시,노원구,공릉2동,"40,695","2,531","3,956","6,696","5,409","6,156","6,444","5,117","2,923","1,252",210,1
서울특별시,노원구,하계1동,"25,422",803,"2,582","4,373","2,700","2,949","4,594","3,906","2,259","1,043",205,8
서울특별시,노원구,하계2동,"19,608","1,091","2,220","2,249","2,403","3,121","3,526","2,847","1,372",655,124,0
서울특별시,노원구,중계본동,"22,233",997,"4,031","2,673","1,669","3,947","4,511","2,614","1,144",539,104,4
서울특별시,노원구,중계1동,"25,977","1,554","5,175","2,530","1,854","5,507","4,893","2,614","1,170",582,97,1
서울특별시,노원구,중계4동,"18,600",771,"1,817","2,074","1,780","2,574","3,548","2,816","2,022","1,022",173,3
서울특별시,노원구,중계2.3동,"31,490","1,267","2,419","3,309","3,908","4,217","5,439","4,949","3,667","1,986",323,6
서울특별시,노원구,상계1동,"35,997","1,525","2,736","4,140","4,303","4,650","6,374","6,514","3,822","1,662",262,9
서울특별시,노원구,상계2동,"18,580",571,"1,414","2,607","2,201","2,273","3,588","3,206","1,778",804,134,4
서울특별시,노원구,상계3.4동,"26,613","1,181","2,019","2,804","2,727","3,482","4,890","4,702","3,060","1,561",180,7
서울특별시,노원구,상계5동,"22,152",655,"1,522","2,546","2,551","2,652","4,195","3,966","2,525","1,301",233,6
서울특별시,노원구,상계6.7동,"30,309","1,601","2,404","3,628","4,860","4,329","5,322","4,317","2,468","1,134",239,7
서울특별시,노원구,상계8동,"21,239","1,761","1,600","2,163","4,727","3,360","2,992","2,291","1,567",658,119,1
서울특별시,노원구,상계9동,"18,959",895,"1,557","2,122","2,695","2,680","3,395","2,865","1,811",782,152,5
서울특별시,노원구,상계10동,"17,737","1,045","1,428","2,026","2,910","2,640","3,060","2,571","1,373",557,124,3
서울특별시,은평구,은평구,"455,137","20,384","33,611","55,923","66,656","64,706","76,614","69,129","43,913","21,185","2,947",69
서울특별시,은평구,녹번동,"35,103","1,684","2,022","4,049","5,451","5,008","5,717","5,513","3,621","1,786",248,4
서울특별시,은평구,불광제1동,"34,424","1,451","2,135","4,208","5,141","4,620","5,673","5,609","3,457","1,838",288,4
서울특별시,은평구,불광제2동,"26,181",610,"1,312","3,428","3,855","3,111","4,439","4,741","2,976","1,537",167,5
서울특별시,은평구,갈현제1동,"13,993",369,860,"1,885","2,080","1,786","2,388","2,336","1,512",687,86,4
서울특별시,은평구,갈현제2동,"26,779",800,"2,024","3,556","3,646","3,642","4,820","4,270","2,651","1,214",155,1
서울특별시,은평구,구산동,"30,648","1,044","2,348","3,670","3,841","4,111","5,578","5,185","3,197","1,477",192,5
서울특별시,은평구,대조동,"26,990",766,"1,284","4,550","5,315","3,290","3,980","3,745","2,513","1,375",170,2
서울특별시,은평구,응암제1동,"32,004","1,768","2,472","4,058","5,082","5,011","5,219","4,217","2,664","1,327",183,3
서울특별시,은평구,응암제2동,"26,878","2,372","2,706","2,264","3,894","5,338","4,148","3,086","2,013",924,130,3
서울특별시,은평구,응암제3동,"22,889",582,"1,155","2,929","3,290","2,852","3,684","3,915","2,741","1,518",216,7
서울특별시,은평구,역촌동,"44,528","1,667","3,085","5,254","6,481","6,493","7,579","7,030","4,572","2,112",249,6
서울특별시,은평구,신사제1동,"25,725","1,010","1,672","3,173","3,759","3,488","4,398","4,229","2,601","1,223",169,3
서울특별시,은평구,신사제2동,"18,759",725,"1,329","2,128","2,721","2,598","3,112","3,155","2,025",838,124,4
서울특별시,은평구,증산동,"15,257",865,"1,094","1,837","2,159","2,114","2,691","2,231","1,515",661,86,4
서울특별시,은평구,수색동,"21,143","1,753","1,430","2,467","3,679","3,009","3,662","2,825","1,493",681,140,4
서울특별시,은평구,진관동,"53,836","2,918","6,683","6,467","6,262","8,235","9,526","7,042","4,362","1,987",344,10
서울특별시,서대문구,,"300,147","15,242","21,655","44,945","44,999","42,084","47,668","41,839","25,675","13,878","2,106",56
