region,area,people,수요,입주,매매,전세,전세가율,,,region,area,people,수요,입주,매매,전세,전세가율
부산,부산진구(312),"365,157","1,788","2,031","1,166",849,70%,,,,,,,,,,
부산,사하구(190),"283,258","1,545",165,774,619,77%,,,,,,,,,,
부산,북구(136),"261,316","1,424",0,"1,008",776,75%,,,,,,,,,,
부산,중구(32),"36,397",206,0,494,538,87%,,,,,,,,,,
부산,서구(55),"101,312",535,0,"1,369","1,018",68%,,,,,,,,,,
부산,금정구(105),"205,880","1,142",510,"1,234",935,73%,,,,,,,,,,
부산,기장군(113),"175,267",897,0,976,763,78%,,,,,,,,,,
부산,강서구(68),"152,826",723,"3,159","1,146",833,72%,,,,,,,,,,
부산,영도구(71),"100,633",556,0,761,606,76%,,,,,,,,,,
부산,사상구(125),"192,901","1,046",0,779,641,79%,,,,,,,,,,
대구,중구(80),"101,576",390,507,"1,559",903,57%,,,,,,,,,,
대구,수성구(285),"408,743","2,101","1,201","1,526",898,57%,,,,,,,,,,
대구,동구(212),"338,262","1,725","1,139",996,691,68%,,,,,,,,,,
대구,북구(235),"407,876","2,202","1,672",847,647,75%,,,,,,,,,,
대구,달성군(144),"252,627","1,329",0,764,578,75%,,,,,,,,,,
대구,남구(59),"139,121",723,"5,024","1,054",714,66%,,,,,,,,,,
대구,달서구(263),"514,677","2,752","1,429",918,657,71%,,,,,,,,,,
대구,서구(44),"163,811",830,0,"1,088",699,61%,,,,,,,,,,
인천,연수구(226),"410,191","1,959",0,"1,729","1,107",63%,,,,,,,,,,
인천,부평구(264),"489,127","2,479",126,"1,434","1,015",70%,,,,,,,,,,
인천,미추홀구(218),"417,547","2,063","2,947","1,183",887,73%,,,,,,,,,,
인천,서구(404),"658,984","2,891","9,734","1,434",946,65%,,,,,,,,,,
인천,남동구(268),"479,566","2,598",0,"1,201",881,73%,,,,,,,,,,
인천,계양구(191),"276,851","1,488","1,285","1,136",860,75%,,,,,,,,,,
인천,중구(164),"178,145",743,871,"1,095",778,69%,,,,,,,,,,
인천,동구(30),"57,753",302,"1,321",906,702,76%,,,,,,,,,,
인천,북구(308),"415,580","2,152","7,062",826,663,77%,,,,,,,,,,
광주,동구(82),"104,730",528,"1,269","1,079",867,72%,,,,,,,,,,
광주,광산구(295),"384,648","2,038",951,880,702,79%,,,,,,,,,,
광주,남구(184),"206,375","1,089",746,970,739,74%,,,,,,,,,,
광주,서구(219),"275,234","1,465","1,116",934,754,77%,,,,,,,,,,
광주,서구(218),"463,574","2,392","2,009","1,333",925,69%,,,,,,,,,,
대전,동구(101),"218,362","1,120",425,921,750,78%,,,,,,,,,,
대전,유성구(231),"370,610","1,785","2,783","1,370",955,69%,,,,,,,,,,
대전,대덕구(70),"164,476",884,0,863,669,76%,,,,,,,,,,
대전,중구(122),"224,665","1,164",749,"1,011",774,74%,,,,,,,,,,
대전,남구(240),"304,457","1,586","1,327","1,404","1,046",72%,,,,,,,,,,
울산,중구(122),"203,339","1,074",931,"1,262","1,021",76%,,,,,,,,,,
울산,울주군(129),"218,294","1,123","2,278",864,693,78%,,,,,,,,,,
울산,동구(79),"147,925",785,0,786,689,83%,,,,,,,,,,
울산,북구(124),"214,026","1,106",0,914,753,80%,,,,,,,,,,
세종,세종시(241),"391,024","1,909",301,"1,651",822,49%,,,,,,,,,,
세종,광명시(112),"303,091","1,473","1,862","3,212","1,635",48%,,,,,,,,,,
경기도,용인시 수지구(227),"370,941","1,904",0,"2,857","1,676",59%,,,,,,,,,,
경기도,성남시 중원구(77),"201,767","1,052",0,"3,182","1,709",54%,,,,,,,,,,
경기도,하남시(174),"327,681","1,621",0,"3,608","2,055",57%,,,,,,,,,,
경기도,성남시(457),"904,576","4,690","1,629","5,018","2,168",43%,,,,,,,,,,
