지역,지역,인구수,수요,입주,매매,전세,전세가율
경남,통영시(97),"116,777",639,506,578,548,81%
경남,거제시(170),"231,359","1,214",343,483,400,80%
제주,제주시(220),"485,212","2,499",292,"1,594",990,61%
제주,서귀포시(82),"179,710",933,94,"1,109",825,72%
강원,동해시(74),"86,450",455,0,599,482,72%
강원,삼척시(40),"60,704",326,0,603,479,73%
강원,홍천군(23),"66,136",345,703,650,513,75%
강원,태백시(45),"37,149",206,0,386,304,78%
강원,원주시(257),"363,062","1,817","2,137",702,565,78%
강원,춘천시(159),"285,267","1,444","1,417",911,716,77%
강원,강릉시(160),"206,492","1,075","1,882",801,708,81%
강원,속초시(97),"79,760",420,925,800,626,77%
전북,완주군(53),"100,520",462,516,731,587,77%
전북,전주시 덕진구(194),"309,766","1,617",394,960,802,80%
전북,전주시(419),"626,862","3,317","2,308",912,756,79%
전북,전주시 완산구(225),"317,096","1,700","1,914",868,710,78%
전북,남원시(38),"74,441",399,0,600,503,69%
전북,김제시(44),"81,650",411,0,496,452,77%
전북,정읍시(53),"100,722",536,0,574,422,74%
전북,익산시(188),"267,217","1,398","1,104",538,485,84%
전북,군산시(178),"256,523","1,340","2,529",491,446,84%
