사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202604,5호선,길동,4,0,5828,686,11251,4254,29317,9156,34589,22207,19076,15801,16971,11754,16007,12373,17305,13692,17503,13421,15194,15936,15465,17228,16611,21180,17500,24184,19434,32473,10649,24562,7977,15704,6879,12737,5359,12639,2260,6729,490,3464,0,0,0,0,0,0,20260503
202604,5호선,김포공항,9,1,1274,3392,7141,10569,25772,22586,29249,26720,14163,15403,15286,15481,21047,17275,22543,17401,26731,17900,27310,16809,32024,16832,28296,17732,38094,18446,42172,16710,24558,9744,21167,5450,19317,3919,16629,2643,8280,1496,462,619,0,2,0,0,0,0,20260503
202604,5호선,까치산,322,2,26172,1397,48716,8180,131343,12449,159271,22867,84839,20194,53241,18994,46262,22377,46753,27207,42727,30462,34684,35770,32151,48665,33954,60697,32887,79339,31859,130547,21702,97007,16729,65046,13808,63470,10627,51528,4991,32904,888,10086,1,401,0,0,0,0,20260503
202604,5호선,답십리,13,1,9337,1282,23979,11408,65928,16053,85505,36292,42108,20825,26156,14961,22236,14303,23664,16600,22677,18930,20579,18365,22065,23444,28215,27358,32627,38347,32875,64673,17675,40496,12237,28218,10042,24705,6996,22509,3318,13780,552,4632,0,18,0,0,0,0,20260503
202604,5호선,동대문역사문화공원(DDP),1,0,196,249,737,3978,1610,11743,3187,33691,3570,12524,3905,5264,3852,4130,3610,4211,3562,4349,4343,3787,5051,3780,6704,4165,14938,4217,22770,4869,8743,2952,5573,2606,4386,2750,2791,2654,1217,1987,239,693,0,0,0,0,0,0,20260503
202604,5호선,둔촌동,1,0,7281,578,19093,6927,53245,13655,54668,27795,31645,18735,23164,14959,21449,14633,22626,18294,21863,21609,20880,20112,21287,25679,22356,29386,26332,39542,27446,57169,16236,39935,13397,20956,11524,21703,8680,17495,3433,9728,448,3185,0,0,0,0,0,0,20260503
202604,5호선,마곡,4,1,3291,3531,10628,12982,29013,40231,28251,97059,16933,47350,14540,24452,17000,22065,19312,22113,21295,23226,23868,20668,30110,22081,37082,24909,63882,30037,75563,39744,36624,27537,28770,14922,25294,13082,16178,11451,5087,5693,711,2367,1,0,0,0,0,0,20260503
202604,5호선,마장,5,1,2421,523,7633,3884,18819,7794,22657,17811,12749,11937,9792,9084,9448,7785,11668,8817,10417,8776,10330,7273,10880,8533,12589,9925,13254,13471,12473,20580,8073,13148,6585,9053,5732,8219,4192,7964,1358,4743,233,1573,0,13,0,0,0,0,20260503
202604,5호선,마천,172,1,7553,336,17042,2833,47935,5011,35502,11547,19166,7189,12867,6669,10647,5863,11364,7297,9756,8905,8241,8119,8042,13109,9634,14809,8613,17789,10435,27304,4575,22899,3814,12261,2686,12712,1565,11381,743,6657,93,2542,0,0,0,0,0,0,20260503
202604,5호선,마포,5,0,2776,1217,10087,8339,32859,25252,44665,81029,24357,36668,19697,18446,19074,19406,19784,17172,21068,18108,20268,16606,22010,19137,24158,23537,42432,36086,62786,49805,24963,28811,21320,19362,22189,17144,16016,14970,6695,8093,972,2432,0,0,0,0,0,0,20260503
202604,5호선,명일,9,0,5864,1489,14249,3816,35756,8342,32814,15595,18926,10456,16709,10406,14399,9888,15192,9048,13867,12625,12683,11917,12446,16161,15444,19854,12845,20856,13070,35576,8545,26060,7366,15037,6887,12299,3984,12644,1718,7089,350,2544,0,6,0,0,0,0,20260503
202604,5호선,목동,40,1,9220,1322,24453,5933,66591,16905,76533,31702,39398,21328,28631,16467,26511,15260,26761,19002,24255,23874,22339,24235,23861,29196,25092,36465,28029,53539,30661,88424,16693,56631,13879,35128,13987,32158,14010,28676,4790,15868,717,5289,0,0,0,0,0,0,20260503
202604,5호선,미사,12,0,9576,1084,26887,8310,79382,16248,76275,32041,38101,26871,28668,22545,25673,23084,28546,25483,28538,24734,26996,29919,30708,30016,31743,41097,35116,52442,36145,78232,22906,69436,21218,39072,20580,30606,17264,27594,7973,17917,2194,5939,0,0,0,0,0,0,20260503
202604,5호선,발산,2,0,4114,2784,13550,17558,35740,53808,37289,140779,24609,71420,26006,38947,30200,35955,34669,35728,37184,36303,40639,33822,49055,32902,55354,36794,87647,44110,101554,59455,45968,41916,39403,25462,36472,20680,28558,18313,12026,10867,1566,3836,0,0,0,0,0,0,20260503
202604,5호선,방이,0,0,2830,862,8709,4230,22438,10205,20868,26854,14258,14330,11978,9941,10270,9217,12293,11823,12247,11636,10933,12947,12138,15399,13705,17704,16853,23454,21973,25120,11539,19434,10157,11297,13034,9577,14252,7704,2614,5074,343,1515,1,0,0,0,0,0,20260503
202604,5호선,방화,26,1,5724,10,13296,3944,30779,7395,28450,16542,16551,9341,14044,7451,13005,7976,13482,8570,12563,9571,10673,10809,12235,12772,13004,14873,12829,18083,12541,24409,6715,21451,4481,13642,3430,12272,2423,11847,1008,6503,188,2536,0,261,0,0,0,0,20260503
202604,5호선,상일동,54,1,11891,1455,35398,6858,81139,13476,63047,22504,36126,11466,27631,9903,22060,9965,22655,15475,19537,18947,17585,18475,19117,25384,20202,26664,21815,41704,23231,60907,12004,51158,8554,29284,6143,27422,4051,23401,1896,14271,594,6146,2,1298,0,0,0,0,20260503
202604,5호선,서대문,9,0,3058,1001,7278,19378,23275,69780,26676,167190,19987,53455,20855,26179,23774,24334,22991,22165,23618,25807,27093,20426,35756,17858,47058,19105,78769,23098,113953,30019,32681,17120,26693,11831,23198,12493,16163,9589,5863,5459,650,1715,0,25,0,0,0,0,20260503
202604,5호선,송정,8,2,3447,944,7910,3852,18902,7677,24147,12356,15965,8508,12296,7201,10783,7950,10895,8821,10190,9123,10217,9388,10700,10583,11972,12461,12917,14740,12641,20250,8183,16461,6032,11752,5143,11075,3763,10415,2168,6347,239,2148,0,0,0,0,0,0,20260503
202604,5호선,신금호,40,0,3105,557,8280,2813,23412,10464,30236,15574,16767,8563,11413,6624,10214,6930,10352,8732,9679,9374,9644,9799,9898,11915,12288,14717,10804,18994,11258,28710,8132,18515,5585,12116,4184,11661,3008,9726,1413,5840,240,2043,0,4,0,0,0,0,20260503
202604,5호선,신길,42,2,2290,405,5623,2132,20176,5599,28505,15520,12559,7246,8873,3847,7163,4285,7252,4646,6520,5340,5715,5439,5909,6451,6664,8493,9569,13392,14976,23702,6192,14438,4425,11959,4070,12545,3085,11519,1697,7245,240,2026,0,0,0,0,0,0,20260503
202604,5호선,신정(은행정),137,2,12989,922,27144,3664,69901,9459,81802,14671,41574,9366,24337,8099,20857,8869,21202,11461,18406,13202,14380,14598,15951,19415,16014,25284,17104,34374,15956,52524,9228,38432,6960,26489,5902,24858,4348,23321,1796,13036,291,4280,0,1,0,0,0,0,20260503
202604,5호선,아차산(어린이대공원후문),34,0,9836,1448,20483,6520,46444,16262,62582,36797,34690,23331,25217,23706,24297,25360,27033,25182,28978,25277,29586,25495,34517,30245,33646,34179,33326,39956,32577,57977,20857,40109,15586,26877,13313,22308,8639,19891,3494,11486,545,3712,0,1,0,0,0,0,20260503
202604,5호선,애오개,57,18,2535,1147,7230,8475,24547,8860,31257,18596,15154,11925,10493,8009,10030,7539,11517,7333,10660,9023,10083,9442,12805,10457,14602,11927,14609,17664,15107,25683,8095,15754,6208,10524,4767,9702,3248,8586,1298,4748,186,2283,2,361,0,0,0,0,20260503
202604,5호선,양평,3,0,2995,760,8252,3672,29322,12554,33774,49972,15838,19190,10015,8118,9268,7655,10329,7716,10670,8276,10015,8262,10847,9453,12811,11657,23376,16464,39594,28248,12234,18142,8126,12694,6205,11393,4116,10414,1751,6227,271,2093,0,0,0,0,0,0,20260503
202604,5호선,여의나루,32,1,1299,1574,3502,11914,7831,51806,11920,82060,7752,36734,7543,30694,10737,33117,15784,36818,18430,46994,26010,47270,36561,49119,48851,49140,80261,53589,94416,59435,61543,37977,68202,24052,63446,12871,39599,8318,14816,4038,1568,1286,0,0,0,0,0,0,20260503
