사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202511,5호선,개롱,4,1,3652,832,9849,2622,21626,7647,22644,15833,14511,9073,12025,6773,10787,6883,11102,7036,10486,9297,9012,9757,10436,10845,14035,14586,12770,17638,12443,22236,6073,18864,4623,11234,3895,9607,2338,10535,814,5333,76,1652,0,0,0,0,0,0,20251203
202511,5호선,개화산,5,0,4854,164,9550,3520,23126,6877,23540,13965,13229,6755,10108,5905,9692,6722,9922,7324,9468,7427,8300,8056,8763,9443,9506,11188,13650,14418,11605,19653,5197,15846,3795,10305,3277,10008,2357,8861,802,4983,101,1628,1,110,0,0,0,0,20251203
202511,5호선,개화산,5,0,4854,164,9550,3520,23126,6877,23540,13965,13229,6755,10108,5905,9692,6722,9922,7324,9468,7427,8300,8056,8763,9443,9506,11188,13650,14418,11605,19653,5197,15846,3795,10305,3277,10008,2357,8861,802,4983,101,1628,1,110,0,0,0,0,20251203
202511,5호선,거여,14,0,7001,698,17200,3507,44483,8791,44052,18960,25565,9857,17853,7703,15732,8883,16376,8947,14531,12995,12794,11749,13131,16435,15396,21410,16289,26142,15074,39978,7339,32148,5615,18276,5180,15946,3344,16632,1219,8783,143,2818,0,0,0,0,0,0,20251203
202511,5호선,거여,14,0,7001,698,17200,3507,44483,8791,44052,18960,25565,9857,17853,7703,15732,8883,16376,8947,14531,12995,12794,11749,13131,16435,15396,21410,16289,26142,15074,39978,7339,32148,5615,18276,5180,15946,3344,16632,1219,8783,143,2818,0,0,0,0,0,0,20251203
202511,5호선,고덕,5,0,4173,1578,10685,6598,26842,17661,25749,22384,18040,17264,17338,15728,18959,12368,18946,13900,17384,18766,17880,15848,21245,19156,23617,20991,25473,21177,19445,30073,11658,23209,9248,12840,9674,12470,9731,11183,2153,5991,355,2235,0,170,0,0,0,0,20251203
202511,5호선,고덕,5,0,4173,1578,10685,6598,26842,17661,25749,22384,18040,17264,17338,15728,18959,12368,18946,13900,17384,18766,17880,15848,21245,19156,23617,20991,25473,21177,19445,30073,11658,23209,9248,12840,9674,12470,9731,11183,2153,5991,355,2235,0,170,0,0,0,0,20251203
202511,5호선,공덕,10,2,1822,1023,5671,8152,20511,33430,33030,73438,19664,41387,15521,19416,17223,18119,19438,16829,21776,18472,19500,16487,22393,18072,27274,21310,45408,33131,62044,47003,25692,22673,20783,14424,20916,12974,15132,11448,6261,6136,833,1481,0,0,0,0,0,0,20251203
202511,5호선,공덕,10,2,1822,1023,5671,8152,20511,33430,33030,73438,19664,41387,15521,19416,17223,18119,19438,16829,21776,18472,19500,16487,22393,18072,27274,21310,45408,33131,62044,47003,25692,22673,20783,14424,20916,12974,15132,11448,6261,6136,833,1481,0,0,0,0,0,0,20251203
202511,5호선,광나루(장신대),3,0,4400,1810,12625,6493,29169,15299,34114,34441,21709,20631,18060,18606,17624,16500,19414,16703,19972,17161,21537,16719,23064,18891,25903,23119,26033,27969,28857,33790,14371,23223,15953,15250,13562,14102,9476,13309,2452,7901,344,1970,0,0,0,0,0,0,20251203
202511,5호선,광나루(장신대),3,0,4400,1810,12625,6493,29169,15299,34114,34441,21709,20631,18060,18606,17624,16500,19414,16703,19972,17161,21537,16719,23064,18891,25903,23119,26033,27969,28857,33790,14371,23223,15953,15250,13562,14102,9476,13309,2452,7901,344,1970,0,0,0,0,0,0,20251203
202511,5호선,광화문(세종문화회관),10,0,1276,887,3462,36679,8865,98799,13511,267649,13359,139649,18013,70609,26065,69034,33206,58731,44107,60272,53651,49174,70175,40803,90369,38939,138943,44130,212925,46769,83107,20422,69051,9699,69878,7625,38595,5096,13367,2916,1302,721,0,0,0,0,0,0,20251203
202511,5호선,광화문(세종문화회관),10,0,1276,887,3462,36679,8865,98799,13511,267649,13359,139649,18013,70609,26065,69034,33206,58731,44107,60272,53651,49174,70175,40803,90369,38939,138943,44130,212925,46769,83107,20422,69051,9699,69878,7625,38595,5096,13367,2916,1302,721,0,0,0,0,0,0,20251203
202511,5호선,군자(능동),62,4,7235,926,11452,6065,32396,9745,46628,26447,25125,19868,16410,15563,16134,14853,17369,16016,17921,18230,16814,18365,17625,21027,20192,26999,26126,37792,28538,57607,17973,35503,14995,22906,14746,20768,12782,19636,6747,11892,1277,5790,0,909,0,0,0,0,20251203
202511,5호선,군자(능동),62,4,7235,926,11452,6065,32396,9745,46628,26447,25125,19868,16410,15563,16134,14853,17369,16016,17921,18230,16814,18365,17625,21027,20192,26999,26126,37792,28538,57607,17973,35503,14995,22906,14746,20768,12782,19636,6747,11892,1277,5790,0,909,0,0,0,0,20251203
202511,5호선,굽은다리(강동구민회관앞),16,1,7810,651,13066,3107,34847,6534,39111,14428,22365,11289,17694,10345,16131,11637,17620,12239,17383,14250,14949,15073,14639,15976,15518,21495,16173,23062,15433,37442,9304,26299,7711,16980,7568,13657,4471,13913,1341,7184,319,2842,1,18,0,0,0,0,20251203
202511,5호선,굽은다리(강동구민회관앞),16,1,7810,651,13066,3107,34847,6534,39111,14428,22365,11289,17694,10345,16131,11637,17620,12239,17383,14250,14949,15073,14639,15976,15518,21495,16173,23062,15433,37442,9304,26299,7711,16980,7568,13657,4471,13913,1341,7184,319,2842,1,18,0,0,0,0,20251203
202511,5호선,길동,6,0,5236,650,10082,3789,25765,7038,31446,19323,18522,14892,15515,10600,15292,11520,16287,12946,16704,13348,14498,15347,15052,16212,16489,20125,16798,22080,17227,30350,9637,23196,7305,14199,6380,11915,4629,11104,1993,5840,426,2817,0,0,0,0,0,0,20251203
202511,5호선,길동,6,0,5236,650,10082,3789,25765,7038,31446,19323,18522,14892,15515,10600,15292,11520,16287,12946,16704,13348,14498,15347,15052,16212,16489,20125,16798,22080,17227,30350,9637,23196,7305,14199,6380,11915,4629,11104,1993,5840,426,2817,0,0,0,0,0,0,20251203
202511,5호선,김포공항,12,0,1019,3552,5625,10498,20996,20222,27167,24995,15324,15565,14820,15171,19916,17106,20442,17496,25967,17788,30541,16729,30857,16713,29532,17660,31938,19098,38833,17570,26513,10569,20340,5126,16623,3162,17190,2305,7649,1213,354,485,2,8,0,0,0,0,20251203
202511,5호선,김포공항,12,0,1019,3552,5625,10498,20996,20222,27167,24995,15324,15565,14820,15171,19916,17106,20442,17496,25967,17788,30541,16729,30857,16713,29532,17660,31938,19098,38833,17570,26513,10569,20340,5126,16623,3162,17190,2305,7649,1213,354,485,2,8,0,0,0,0,20251203
202511,5호선,까치산,322,5,24557,1270,43783,8117,116080,10798,146513,21732,81014,19260,50750,17841,44684,20956,44741,25291,41060,28943,34797,35057,32034,46385,33309,59331,32455,77351,30055,121098,19910,90649,14892,60321,12871,57817,9754,47678,4643,29440,815,8414,0,339,0,0,0,0,20251203
202511,5호선,까치산,322,5,24557,1270,43783,8117,116080,10798,146513,21732,81014,19260,50750,17841,44684,20956,44741,25291,41060,28943,34797,35057,32034,46385,33309,59331,32455,77351,30055,121098,19910,90649,14892,60321,12871,57817,9754,47678,4643,29440,815,8414,0,339,0,0,0,0,20251203
202511,5호선,답십리,36,0,8956,1218,20332,11041,57163,13252,77916,29526,39573,18665,25503,14245,21420,14025,23216,15537,22218,18330,20261,17327,21485,22360,26461,27007,30076,36597,30976,59060,15750,37101,10884,25607,8781,23110,6291,21491,3045,11959,511,3981,0,0,0,0,0,0,20251203
202511,5호선,답십리,36,0,8956,1218,20332,11041,57163,13252,77916,29526,39573,18665,25503,14245,21420,14025,23216,15537,22218,18330,20261,17327,21485,22360,26461,27007,30076,36597,30976,59060,15750,37101,10884,25607,8781,23110,6291,21491,3045,11959,511,3981,0,0,0,0,0,0,20251203
202511,5호선,동대문역사문화공원(DDP),0,0,221,255,818,3197,1707,9913,2983,28688,3658,11286,3657,4226,3166,3535,2860,3555,2962,3773,3875,3498,4494,3640,6181,4027,13561,4440,20067,4328,7924,2940,4275,2509,3835,2646,2411,2515,1063,1677,204,451,0,2,0,0,0,0,20251203
202511,5호선,동대문역사문화공원(DDP),0,0,221,255,818,3197,1707,9913,2983,28688,3658,11286,3657,4226,3166,3535,2860,3555,2962,3773,3875,3498,4494,3640,6181,4027,13561,4440,20067,4328,7924,2940,4275,2509,3835,2646,2411,2515,1063,1677,204,451,0,2,0,0,0,0,20251203
202511,5호선,둔촌동,4,0,6625,490,16611,6625,46442,11961,49261,24921,30102,17110,21787,14254,20337,14210,21299,17025,21226,19978,19821,20256,21115,24149,22325,28176,25041,37573,25652,53459,14406,36777,12496,18725,9810,19683,9400,15436,2957,8899,403,2597,0,0,0,0,0,0,20251203
202511,5호선,둔촌동,4,0,6625,490,16611,6625,46442,11961,49261,24921,30102,17110,21787,14254,20337,14210,21299,17025,21226,19978,19821,20256,21115,24149,22325,28176,25041,37573,25652,53459,14406,36777,12496,18725,9810,19683,9400,15436,2957,8899,403,2597,0,0,0,0,0,0,20251203
202511,5호선,마곡,3,0,3050,3208,8364,11579,24463,30233,26375,78000,15561,42231,13488,21343,15106,19487,17744,19823,19097,21224,21683,19412,27085,19620,34603,23034,54527,27435,61601,35530,30270,24491,23873,13504,21331,11530,13346,9837,4868,5024,573,1880,0,0,0,0,0,0,20251203
202511,5호선,마곡,3,0,3050,3208,8364,11579,24463,30233,26375,78000,15561,42231,13488,21343,15106,19487,17744,19823,19097,21224,21683,19412,27085,19620,34603,23034,54527,27435,61601,35530,30270,24491,23873,13504,21331,11530,13346,9837,4868,5024,573,1880,0,0,0,0,0,0,20251203
202511,5호선,마장,0,0,2314,563,6687,3888,16331,6769,20211,15524,12373,10227,9636,7854,8827,7048,9897,7835,9559,8331,9481,7517,10439,8285,12245,10431,12527,13785,12037,18970,7322,11812,6195,8381,5455,7493,3964,7179,1392,4290,214,1329,0,6,0,0,0,0,20251203
202511,5호선,마장,0,0,2314,563,6687,3888,16331,6769,20211,15524,12373,10227,9636,7854,8827,7048,9897,7835,9559,8331,9481,7517,10439,8285,12245,10431,12527,13785,12037,18970,7322,11812,6195,8381,5455,7493,3964,7179,1392,4290,214,1329,0,6,0,0,0,0,20251203
202511,5호선,마천,156,0,7138,313,13958,2819,40831,4156,32462,10936,18096,6873,12266,6854,10549,5715,11094,7026,9605,8633,8697,7514,8240,12953,9688,13906,8481,17567,9450,25282,4143,21010,3580,11512,2432,11507,1544,10631,653,6170,92,2308,0,0,0,0,0,0,20251203
202511,5호선,마천,156,0,7138,313,13958,2819,40831,4156,32462,10936,18096,6873,12266,6854,10549,5715,11094,7026,9605,8633,8697,7514,8240,12953,9688,13906,8481,17567,9450,25282,4143,21010,3580,11512,2432,11507,1544,10631,653,6170,92,2308,0,0,0,0,0,0,20251203
202511,5호선,마포,18,0,2501,1296,8288,8945,27720,21696,39016,70984,23248,36539,18899,18843,18659,18463,19493,16756,20293,17816,19416,16245,21494,18099,24745,23443,39288,34867,57975,46425,22283,26594,20375,17052,20723,15101,14250,12633,5782,7399,787,1925,0,0,0,0,0,0,20251203
202511,5호선,마포,18,0,2501,1296,8288,8945,27720,21696,39016,70984,23248,36539,18899,18843,18659,18463,19493,16756,20293,17816,19416,16245,21494,18099,24745,23443,39288,34867,57975,46425,22283,26594,20375,17052,20723,15101,14250,12633,5782,7399,787,1925,0,0,0,0,0,0,20251203
202511,5호선,명일,6,0,5449,1531,12525,3445,31225,6955,30959,14097,18070,9809,15874,10118,13845,9447,14907,8854,13734,12102,12531,11625,12414,15347,14445,19252,13198,19006,12123,32792,7813,23960,6501,13867,6240,11471,3648,11467,1667,6528,377,2295,0,28,0,0,0,0,20251203
202511,5호선,명일,6,0,5449,1531,12525,3445,31225,6955,30959,14097,18070,9809,15874,10118,13845,9447,14907,8854,13734,12102,12531,11625,12414,15347,14445,19252,13198,19006,12123,32792,7813,23960,6501,13867,6240,11471,3648,11467,1667,6528,377,2295,0,28,0,0,0,0,20251203
