"주소1","주소2","주소3","주소4","학교명","분류","국어","영어","수학","평균","특목고계"
"경남","양산시","교동","","양산여자중학교","사립","86.5","84.3","80.4","83.7","5"
"전남","함평군","신광면","월암리","함평신광중학교","공립","86.5","88.0","96.0","90.2","0"
"경북","상주시","모서면","삼포리","모서중학교","공립","86.5","72.2","75.2","78.0","0"
"경기","수원시","영통구","망포로","영동중학교","공립","86.4","78.4","83.2","82.7","3"
"충남","천안시","서북구","불당동","천안불당중학교","공립","86.4","80.4","82.0","82.9","12"
"경기","안양시","동안구","부흥동","안양부흥중학교","공립","86.3","83.4","79.0","82.9","13"
"울산","남구","삼산동","","울산강남중학교","공립","86.3","84.4","84.4","85.0","3"
"경기","화성시","청계동","산","동탄중학교","공립","86.3","84.8","84.3","85.1","7"
"서울","관악구","신림동","","광신중학교","사립","86.3","66.3","79.4","77.3","1"
"경기","하남시","학암동","","위례중학교","공립","86.3","85.0","79.3","83.5","14"
"전남","순천시","주암면","창촌리","순천주암중학교","공립","86.3","74.8","85.0","82.0","0"
"울산","남구","신정동","","울산서여자중학교","공립","86.2","83.8","84.8","84.9","9"
"서울","동작구","대방동","","숭의여자중학교","사립","86.2","84.5","76.2","82.3","7"
"경남","합천군","가회면","덕촌리","가회중학교","사립","86.2","68.0","70.2","74.8","0"
"울산","남구","옥동","","옥동중학교","공립","86.1","86.6","84.3","85.7","11"
"경기","화성시","","","반송중학교","공립","86.1","83.7","85.1","85.0","11"
"강원","양양군","현남면","광진리","현남중학교","공립","86.0","89.0","84.0","86.3",""
"서울","강동구","천호동","","성덕여자중학교","사립","86.0","74.5","72.7","77.7","5"
"경기","의왕시","오전동","","고천중학교","공립","86.0","77.4","83.0","82.1","0"
"전북","군산시","옥도면","선유도리","선유도중학교","공립","86.0","81.0","81.0","82.7",""
"서울","서초구","잠원동","","신동중학교","공립","86.0","83.9","76.4","82.1","13"
"강원","횡성군","강림면","강림리","강림중학교","공립","86.0","75.5","78.0","79.8",""
"전남","화순군","도암면","원천리","화순도암중학교","공립","86.0","62.0","85.0","77.7","0"
"경기","남양주시","다산순환로","","다산새봄중학교","공립","86.0","86.4","73.2","81.9","1"
"경기","양평군","용문면","마룡리","용문중학교","사립","85.9","85.1","83.9","85.0","0"
"전북","익산시","여산면","두여리","여산중학교","공립","85.9","61.4","72.1","73.1",""
"경기","여주시","상동","","여주여자중학교","공립","85.9","77.0","79.7","80.9","0"
"경북","경산시","용성면","당리리","용성중학교","공립","85.9","75.1","75.9","79.0","0"
"경기","성남시","분당구","수내동","수내중학교","공립","85.9","78.3","80.5","81.6","16"
"경북","칠곡군","왜관읍","","순심여자중학교","사립","85.8","71.7","84.4","80.6","0"
"서울","강동구","고덕동","","배재중학교","사립","85.8","80.4","69.3","78.5","5"
"전남","화순군","남면","","화순사평중학교","공립","85.7","83.7","75.0","81.5","0"
"전남","여수시","소라면","덕양리","여양중학교","사립","85.7","71.2","79.6","78.8","0"
"광주","동구","지산동","","살레시오여자중학교","사립","85.7","75.5","74.3","78.5","1"
"경북","문경시","산양면","불암리","산양중학교","공립","85.6","82.1","83.4","83.7","0"
"경기","수원시","영통구","영통동","태장중학교","공립","85.6","73.3","75.6","78.2","6"
"전남","담양군","금성면","석현리","담양금성중학교","공립","85.6","81.6","81.2","82.8","0"
"전남","완도군","군외면","원동리","군외중학교","공립","85.6","71.6","79.0","78.7","0"
